"centre_code","centre_name"
"3228","CHIRUNDU HIGH SCHOOL GCE CENTR"
"3241","RUSANGU BASIC G.C.E. CENTRE"
"3245","TAGORE OPEN LEARNING (GCE)"
"3246","CHARLES LWANGA BASIC SCHOOL GCE"
"3249","NAKAMBALA GCE SCHOOL"
"3479","BATOKA SECONDARY GCE"
"3482","MWAATA DAY SECONDARY SCHOOL (GCE)"
"3509","KAZUNGULA SECONDARY SCHOOL GCE"
"3510","ST. PATRICK'S SECONDARY SCHOOL GCE"
"3515","GWEMBE DAY SECONDARY SCHOOL GCE"
"3520","NANGA SCHOOL"
"3521","ST MULUMBA SPECIAL GCE"
"3522","MUYUMBWE SECONDARY SCHOOL GCE"
"3523","KAUMBA SECONDARY SCHOOL GCE"
"3528","JONATHAN SIM CHIKANTA SECONDARY GCE"
"3529","NIKO GIRLS GCE"
"3531","TERRY SCHWARTZ GCE"
"3548","CHAANGA GCE"
"3549","MATUWA PRIMARY AND SECONDARY GCE"
"3550","MUSOKOTWANE SECONDARY SCHOOL"
"3551","MUKUNI SECONDARY"
"3552","SIMANGO GCE"
"3553","NYAMA SECONDARY GCE"
"3554","MAKUNKA SECONDARY GCE"
"3556","MULWANI PRIMARY & SECONDARY SCHOOL"
"3560","MAKOYE SECONDARY SCHOOL GCE"
"3574","RAHIM PRIVATE SECONDARY SCHOOL GCE"
"3575","LUYABA SECONDARY SCHOOL GCE"
"3588","HACHIPILIKA SECONDARY SCHOOL GCE"
"4100","EMUSA DAY HIGH GCE"
"4101","MONDE HIGH GCE"
"4102","MBWINDI DAY SEC GCE"
"4104","LUNDAZI DAY SECONDARY GCE"
"4109","CHADIZA DAY G.C.E. CENTRE"
"4110","NYANJE DAY G.C.E. CENTRE"
"4113","MWASE DAY SEC GCE"
"4141","CHIZONGWE G.C.E. CENTRE"
"4142","KATETE G.C.E. CENTRE"
"4143","CHASSA  G.C.E. CENTRE"
"4144","ST. MONICAS  G.C.E. CENTRE"
"4145","LUNDAZI  G.C.E. CENTRE"
"4146","CHADIZA G.C.E. CENTRE"
"4147","PETAUKE G.C.E.  CENTRE"
"4148","CHAMA G.C.E. CENTRE"
"4149","CHIPATA DAY G.C.E. CENTRE"
"4150","NYIMBA G.C.E. CENTRE"
"4152","HILLSIDE G.C.E.  CENTRE"
"4153","ST LUKE'S G.C.E.  CENTRE"
"4154","MINGA G.C.E. CENTRE"
"4155","GONDAR G.C.E. CENTRE"
"4156","MAMBWE G.C.E.  CENTRE"
"4157","CHIPATA ADULT GCE CENTRE"
"4158","LUMEZI DAY G.C.E. CENTRE"
"4159","PETAUKE DAY G.C.E. CENTRE"
"4160","VUBWI DAY G.C.E. CENTRE"
"4161","ANOYA ZULU G.C.E. CENTRE"
"4162","FENI G.C.E. CENTRE"
"4163","HOFMEYER G.C.E. CENTRE"
"4164","LUMIMBA DAY G.C.E. CENTRE"
"4165","MADZIMOYO G.C.E. CENTRE"
"4166","KAULU G.C.E. CENTRE"
"4168","KATETE BOMA G.C.E. CENTRE"
"4169","LUNDAZI DAY G.C.E. CENTRE"
"4170","CHISALE DAY G.C.E. CENTRE"
"4172","CHAMA DAY GCE CENTRE"
"4178","KALAMBAKUWA HIGH SCHOOL GCE"
"4180","MFUWE DAY SECONDARY SCHOOL GCE"
"4188","KALAMBAKUWA HIGH SCHOOL GCE"
"4207","LUMEZI BOARDING GCE"
"4208","MPHAMBA DAY GCE"
"4209","MAGWERO BOARDING FOR THE BLIND GCE"
"4212","KAFUMBWE BOARDING  SCHOOL"
"4214","ST MARGRETS SECONDARY  SCHOOL"
"4295","ST MARGRET GCE CENTRE"
"4303","MFUWE DAY SECONDARY SCHOOL GCE"
"4304","JUMBE DAY SECONDARY GCE"
"4329","CHIPARAMBA DAY SECONDARY GCE"
"4330","CHIKUNGU DAY SECONDARY SCHOOL GCE"
"4334","EMUSA DAY SECONDARY GCE"
"4337","KASENENGWA BOARDING SECONDARY"
"4338","CHANJOWE DAY SECONDARY GCE"
"4342","MBOZA DAY SECONDARY"
"4344","SONJA GIRLS SECONDARY SCHOOL"
"4345","KAFUMBWE BOARDING SECONDARY GCE"
"4346","JERSEY DAY GCE CENTRE"
"4347","KAPOCHE DAY SECONDARY SCHOOL GCE"
"4358","VIZIMUMBA DAY SECONDARY GCE"
"4365","NYANJE DAY SECONDARY SCHOOL GCE"
"4374","JUBEVA COLLEGE OF EDUCATION GCE"
"4376","LUNSUTA DAY GCE"
"4377","CHIMTENDE DAY GCE"
"4378","BETHEL SECONDARY GCE"
"4379","NG'OMBE NIMATOLE GCE"
"4380","ZUMAIRE DAY SECONDARY GCE"
"4381","MINGA DAY SECONDARY GCE"
"4382","ST LUKE'S SECONDARY GCE"
"4383","CHIWOKO DAY SECONDARY GCE"
"4384","MONDE DAY SECONDARY SCHOOL GCE"
"4385","IMENA DAY SECONDARY SCHOOL GCE"
"4386","CHIGWE DAY SECONDARY SCHOOL"
"4387","MODERN ACADEMY GCE"
"4395","RIVERSIDE DAY SECONDARY SCHOOL GCE"
"4396","MAILA DAY SECONDARY SCHOOL GCE"
"4397","MATHEMBA DAY SECONDARY SCHOOL GCE"
"4398","CHIKOWA DAY SECONDARY SCHOOL"
"4399","KAZEMBE DAY SECONDARY SCHOOL GCE"
"4400","CHANYALUBWE DAY SECONDARY SCHOOL GCE"
"4401","CHASERA DAY SECONDARY SCHOOL GCE"
"4402","CHINGAZI DAY SECONDARY SCHOOL GCE"
"4404","CHIWARE SECONDARY SCHOOL GCE"
"5040","ST FRANCIS SECONDARY SCHOOL GCE"
"5042","MILEMU HIGH GCE"
"5043","NDOLA GIRLS TECHNICAL HIGH GCE"
"5044","LUANSHYA CENTRAL  HIGH GCE"
"5080","NDOLA ADULT G.C.E. CENTRE"
"5100","NDEKE CARITAS HIGH GCE"
"5101","TAUNGUP HIGH SCHOOL GCE"
"5110","MITONDO HIGH SCHOOL GCE"
"5113","TWASHUKA SECONDARY GCE"
"5115","KAMFINSA PRISON GCE"
"5117","CHIMWEMWE HIGH GCE"
"5118","KAMFINSA DAY HIGH GCE"
"5130","IPUSUKILO HIGH SCHOOL GCE"
"5151","HELEN KAUNDA G.C.E. CENTRE"
"5152","KITWE BOYS G.C.E. CENTRE"
"5153","CHINGOLA G.C.E. CENTRE"
"5154","MUFULIRA G.C.E. CENTRE"
"5155","KANSENSHI G.C.E. CENTRE"
"5156","LUANSHYA BOYS G.C.E. CENTRE"
"5157","CHIWALA G.C.E. CENTRE"
"5158","KANTANSHI G.C.E. CENTRE"
"5159","MUKUBA G.C.E. CENTRE"
"5160","ROAN ANTELOPE G.C.E. CENTRE"
"5161","CHIKOLA G.C.E. CENTRE"
"5162","DOMINICAN CONVENT G.C.E. CENT."
"5163","MASALA G.C.E. CENTRE"
"5164","IBENGA G.C.E. CENTRE"
"5165","CHAMBOLI G.C.E. CENTRE"
"5166","CHILILABOMBWE G.C.E. CENTRE"
"5167","KALULUSHI G.C.E. CENTRE"
"5168","MPATAMATU G.C.E. CENTRE"
"5169","MINDOLO G.C.E. CENTRE"
"5170","CHIFUBU G.C.E. CENTRE"
"5171","LUANSHYA GIRLS G.C.E. CENTRE"
"5172","BUTONDO G.C.E. CENTRE"
"5173","FATIMA GIRLS G.C.E. CENTRE"
"5174","KABUNDI G.C.E. CENTRE"
"5175","LUBUTO G.C.E. CENTRE"
"5176","NDEKE G.C.E. CENTRE"
"5177","MPELEMBE G.C.E. CENTRE"
"5178","MPONGWE G.C.E. CENTRE"
"5179","TUG-ARGAN G.C.E. CENTRE"
"5180","SACRED HEART CONVENT G.C.E"
"5181","ST.JOHNS CONVENT G.C.E. CENTRE"
"5182","DA-GAMA G.C.E. CENTRE"
"5183","ST. JOSEPHS G.C.E. CENTRE"
"5184","NDOLA ADULT G.C.E. CENTRE"
"5185","LUANSHYA ADULT G.C.E. CENTRE"
"5186","MUFULIRA SCH. FOR CONT. (GCE)"
"5188","ST. ANDREWS HIGH SCHOOL G.C.E."
"5189","KITWE TEACHERS COLLEGE G.C.E."
"5191","KAMFINSA MOBILE UNIT GCE CENT."
"5192","CHAMBISHI G.C.E. CENTRE"
"5193","CHATI G.C.E. CENTRE"
"5194","CHINGOLA SCHOOL FOR CONT. EDUC"
"5196","WUSAKILE BASIC SCH. GCE CENTRE"
"5197","MUTUNDU BASIC G.C.E. CENTRE"
"5198","CHAVUMA SEC.  G.C.E. CENTRE"
"5199","CHANKWA G.C.E. CENTRE"
"5200","NKULUMASHIBA HIGH SCHOOL GCE"
"5260","MAITENEKE HIGH SCHOOL GCE"
"5262","SEKELA HIGH SCHOOL GCE"
"5263","CHIWEMPALA BASIC SCHOOL"
"5264","CHINGOLA BASIC SCHOOL"
"5266","MITANTO HIGH SCHOOL GCE CENTRE"
"5268","MALELA SEC. SCHOOL GCE CENTRE"
"5269","MAHATMA GANDHI SEC. SCHOOL GCE"
"5321","MULEYA SECONDARY SCHOOL GCE"
"5325","HIGHLAND HIGH SCHOOL GCE"
"5330","MUFULIRA CENTRAL BASIC SCH GCE"
"5331","KASUMBA BASIC GCE CENTRE"
"5332","SPRINGBOARD CENTRE"
"5335","TEMWENI HIGH SCHOOL GCE"
"5341","CHIBOTE GIRLS  HIGH SCHOOL GCE"
"5342","ST MARYS' UPPER BASIC SCH GCE"
"5344","NKANA HIGH SCHOOL GCE"
"5346","MUPAPA ADVENTIST ACADEMY GCE"
"5386","MASAITI BOARDING SCHOOL G.C.E CENRE"
"5390","MPONGWE SOUTH SECONDARY SCHOOL"
"5402","ST MACERLLINS GCE CENTRE"
"5419","PAMODZI GIRLS HIGH GCE"
"5424","NABOONGA PVT"
"5459","KANSENSHI PRISON SECONDARY SCHOOL"
"5465","LUFWANYAMA BOARDING GCE"
"5466","CHAPULA SECONDARY SCHOOL GCE"
"5473","SACRED HEART"
"5474","LIMA SECONDARY SCHOOL GCE"
"5475","MPONGWE DAY SECONDARY SCHOOL GCE"
"5476","TOBIT GIRLS SECONDARY SCHOOL GCE"
"5478","DON OTTAVIO SECONDARY SCHOOL"
"5481","NCHANGA SECONDARY SCHOOL"
"5482","NAKATINDI GIRLS SECONDARY SCHOOL"
"5529","MIKOMFWA SECONDARY GCE"
"5531","NKULAMASHIBA EAST SECONDARY"
"5535","DAVID MAKINA CHINYAMA PVT GCE"
"5541","KAWAMA SECONDARY SCHOOL GCE"
"5555","KAYELE SECONDARY SCHOOL GCE"
"5567","ZAMBIA COLLEGE OF DISTANCE EDUCATION"
"5585","JUSTINE KABWE SECONDARY GCE"
"5586","FISENGE SECONDARY SCHOOL GCE"
"5590","CHILILABOMBWE COMBINED GCE"
"5595","FITOBAULA SEC SCHOOL GCE"
"5596","KAMENZA SECONDARY SCHOOL GCE"
"5599","KALWEO GCE"
"5600","WESLY NYIRENDA SECONDARY GCE"
"5601","NATWANGE COMBINED"
"5602","GARNETON SECONDARY SCHOOL GCE"
"5603","BULANGILILO COMBINED SCHOOL GCE"
"5604","MILOPA COMBINED SCHOOL GCE"
"5605","MPELEMBE SECONDARY SCHOOL GCE"
"5606","LUANGWA COMBINED SCHOOL GCE"
"5607","MUSENGA SECONDARY GCE"
"5608","LULAMBA COMBINED SCHOOL GCE"
"5609","SACRED HEART CONVENT SCHOOL GCE"
"5610","DON BOSCO TECNICAL SECONDARY SCHOOL GCE"
"5611","IPAFU SECONDARY SCHOOL GCE"
"5612","MUDZABWERA SECONDARY SCHOOL GCE"
"5613","KASOMPE COMBINED SCHOOL GCE"
"5614","MUCHINSHI SECONDARY SCHOOL GCE"
"5615","LUANSHYA SCHOOL FOR CONTINUING EDUCATION GCE"
"5617","GEORGE SECONDARY SCHOOL GCE"
"5623","INGWE SECONDARY SCHOOL GCE"
"5630","AGAPE COMMUNITY SCHOOL GCE"
"5638","BRIGHT WAY SECONDARY SCHOOL GCE"
"5639","MACHIYA COMBINED SCHOOL"
"5641","MULEMU SECONDARY SCHOOL GCE"
"5645","LWANSOBE BOARDING SECONDARY SCHOOL GCE"
"5646","KALWEO COMBINED SCHOOL GCE"
"5647","MULILO SECONDARY SCHOOL GCE"
"5649","MACHONA COMBINED SCHOOL GCE"
"5650","MAMAMONTY COMBINED SCHOOL GCE"
"5654","MURUNDU COMBINED SCHOOL GCE"
"5655","MUKUMBO SECONDARY SCHOOL GCE"
"5656","LUANSOBE SECONDARY SCHOOL GCE"
"5657","LUMANTO SECONDARY SCHOOL GCE"
"5658","MIBENGE SECONDARY SCHOOL GCE"
"5659","FUNGULWE SECONDARY SCHOOL GCE"
"5660","KANSUSWA SECONDARY SCHOOL GCE"
"5661","KALANGA SECONDARY SCHOO.L GCE"
"5663","MATETE SECONDARY SCHOOL GCE"
"5668","MUTABA SECONDARY SCHOOL GCE"
"5669","LULAMBA COMBINED SCHOOL GCE"
"5673","CHINTIMFU COMBINED SCHOOL"
"5677","TWASHUKA COMBINED SCHOOL"
"5679","COMIS COMMUNITY SECONDARY SCHOOL"
"6072","LWAWU DAY HIGH GCE"
"6073","LUNGA DAY HIGH GCE"
"6074","NTAMBU HIGH GCE"
"6080","SOLWEZI DAY G.C.E. CENTRE"
"6081","MEHEBA G.C.E. CENTRE"
"6082","ZAMBEZI G.C.E. CENTRE"
"6083","MWINILUNGA G.C.E. CENTRE"
"6084","MUKINGE G.C.E. CENTRE"
"6085","KABOMPO G.C.E. CENTRE"
"6086","KASEMPA DAY G.C.E. CENTRE"
"6087","SOLWEZI BOYS G.C.E. CENTRE"
"6088","KASEMPA BOYS G.C.E. CENTRE"
"6089","CHAVUMA DAY G.C.E. CENTRE."
"6090","KYAWAMA G.C.E. CENTRE"
"6091","MUTANDA SECONDARY GCE CENTRE"
"6092","LOLOMA DAY G.C.E. CENTRE"
"6093","MUFUMBWE G.C.E CENTRE"
"6094","KALENE DAY SECONDARY SCHOOL GCE CENTRE"
"6095","IKELENGE SEC SCHOOL GCE CENTRE"
"6096","JIWUNDU DAY GCE CENTRE"
"6097","CHITOKOLOKI HIGH SCHOOL GCE"
"6109","SOLWEZI SKILLS G.C.E. CENTRE"
"6111","ZAMBEZI DAY GCE CENTRE"
"6117","CHAVUMA BOARDING SCHOOL"
"6158","MUSHINDAMO GIRLS TECHNICAL SCHOOL GCE"
"6159","KABISAPI SECONDARY SCHOOL GCE"
"6160","MANYINGA DAY SECONDARY SCHOOL GCE"
"6165","SOLWEZI URBAN SECONDARY SCHOOL GCE"
"6166","CHAVUMA BOARDING SECONDARY SCHOOL GCE"
"6167","KALENDE DAY SECONDARY SCHOOL GCE"
"6168","KANAJI CHILANDA SECONDARY SCHOOL GCE CENTRE"
"6183","KAWANDA SECONDARY"
"6184","CHINYINGI DAY SECONDARY"
"6185","KASHIMA DAY SECONDARY SCH GCE"
"6187","LAMBA DAY SECONDARY"
"6189","KAWUMBU DAY SECONDARY"
"6190","MAPUNGA DAY SECONDARY GCE"
"6191","MAPACHI DAY"
"6203","KALENE DAY SECONDARY GCE"
"6204","LWAKELA DAY SCHOOL"
"6205","JIMBE DAY SECONDARY SCHOOL GCE"
"6206","CHIFWAFWA DAY SECONDARY GCE"
"6208","LUMWANA WEST DAY GCE"
"6209","KABANDA DAY"
"6210","NTAMBU DAY"
"6211","ST CHRISTOPHER"
"6212","KATEMWA SECONDARY GCE"
"6213","LWAWU GCE"
"6214","TOMU YILUNGA GCE"
"6215","KANYAMA BOARDING"
"6219","MWANGE DAY SEC"
"6220","CHIFUWE NORTH DAY SECONDARY GCE"
"6221","MUKUMBI SECONDARY GCE"
"6222","KASHINAKAZHI DAY SECONDARY SCHOOL GCE"
"6232","KABULAMEMA DAY GCE CENTRE"
"6233","KAMASHILA GCE CENTRE"
"6234","CHIWEZA GCE CENTRE"
"6235","CHIWEZA GCE"
"6237","CHIKENGE DAY SECONDARY SCHOOL GCE"
"6239","RODWELL MWEPU GCE"
"6240","KABULAMEMA GCE"
"6242","POKOLA DAY SECONDARY"
"6243","KIKOMBE SECONDARY SCHOOL"
"6247","ST FRANCIS SECONDARY SCHOOL"
"6264","HOLY CROSS CONVENT SCHOOL GCE"
"6265","KASAPA DAY SECONDARY"
"6266","MUTANDA DAY SECONDARY GCE"
"6267","KAPIJIMPANGA SECONDARY GCE"
"6268","SANJANGO DAY"
"6269","KISASA SECONDARY SCHOOL"
"6270","KANGWENA SECONDARY SCHOOL GCE"
"6271","KAMAKECHI DAY SECONDARY SCHOOL"
"6272","LUBOFU DAY GCE"
"6273","KYAFUKUMA SECONDARY GCE"
"6274","LUAMVUNDU SECONDARY SCHOOL GCE"
"6275","MUTWE WANKAHYI GCE"
"6278","MUFUMBWE BOARDING GCE"
"6279","MANYAMA DAY SECONDARY GCE"
"6280","ST MARY'S SPECIAL SCHOOL GCE"
"6281","NYANTHANDA DAY"
"6282","YOWELA DAY SECONDARY SCHOOL GCE"
"6283","WISHIMANGA DAY GCE"
"6284","LUKOLWE DAY"
"6285","LINGELENGENDA SECONDARY SCHOOL GCE"
"6286","KASAMBA DAY SECONDARY GCE"
"6287","NKENYAUNA DAY SECONDARY GCE"
"6288","MWAJIMABWE DAY SECONDARY SCHOOL GCE"
"6289","SOLWEZI TRADES SCHOOL GCE"
"6290","KAYOMBO BOARDING GCE"
"6291","STCHARLES SECONDARY GCE"
"6292","KIMAKOLWE GCE"
"6293","NSELAUKE DAY SECONDARY SCHOOL GCE"
"6294","TUNVWABGANAI SECONDARY SCHOOL"
"6295","CHOVWE DAY SECONDARY SCHOOL"
"6296","MAHEBA 'B' DAY SECONDARY SCHOOL GCE"
"6297","KIKONGE DAY GCE"
"6298","KAMINZEKENZE DAY SECONDARY GCE"
"6299","KIMALE DAY SECONDARY GCE"
"6301","NYANG'OMBE DAY GCE"
"6302","CHIMOWA SECONDARY GCE"
"6303","KIMITETO DAY SECONDARY GCE"
"6304","KAKOMA DAY SECONDARY GCE"
"6305","KAIMBWE DAY SECONDARY GCE"
"6306","SAILUNG'A DAY SECONDARY GCE"
"6309","MAWANDE SECONDARY SCHOOL GCE"
"6310","KAMYANDA SECONDARY SCHOOL GCE"
"6311","KAULA SECONDARY SCHOOL GCE"
"6312","LUFUPA DAY SECONDARY SCHOOL GCE"
"6313","CHIPANDA SECONDARY GCE"
"6314","KASEMPA MULTI-DISABILITY SPECIAL"
"6315","NYANGOMBE SECONDARY SCHOOL GCE"
"7026","MUKANDO SECONDARY SCHOOL GCE"
"7063","KABWE G.C.E. CENTRE"
"7064","CHIPEMBI GIRLS G.C.E. CENTRE"
"7065","ST. PAULS G.C.E. CENTRE"
"7066","KALONGA G.C.E. CENTRE"
"7067","SERENJE G.C.E. CENTRE"
"7068","MUMBWA G.C.E. CENTRE"
"7069","MKUSHI G.C.E. CENTRE"
